#Temperature: 1000.0 K
#Cutoff radius: 4.0 A
#Number of KMC steps: 100
#Dump: 10
#Vacancy_concentration 0.9492
#N        From            To              Distance, A    Barrier, eV    Time, ps      MSD, A**2     Diffusion coefficient A**2/ps
1             Fe 62           Fe 134      3.0426         1.0000         1.7791e+02    0.0381        3.5690e-05    
2             Fe 11           Fe 142      3.0426         1.0000         3.5582e+02    0.0762        3.5690e-05    
3             Fe 190          Fe 110      3.0426         1.0000         5.3122e+02    0.1143        3.5858e-05    
4             Fe 37           Fe 188      3.0426         1.0000         7.0663e+02    0.1524        3.5943e-05    
5             Fe 24           Fe 116      3.0426         1.0000         8.8203e+02    0.1905        3.5994e-05    
6             Fe 102          Fe 62       3.0426         1.0000         1.0599e+03    0.2286        3.5943e-05    
7             Fe 80           Fe 128      3.0426         1.0000         1.2353e+03    0.2667        3.5979e-05    
8             Fe 120          Fe 32       3.0426         1.0000         1.4083e+03    0.3048        3.6069e-05    
9             Fe 198          Fe 102      3.0426         1.0000         1.5789e+03    0.3429        3.6193e-05    
10            Fe 56           Fe 72       3.0426         1.0000         1.7472e+03    0.3810        3.6341e-05    
11            Fe 174          Fe 14       3.0426         1.0000         1.9178e+03    0.4191        3.6419e-05    
12            Fe 62           Fe 198      3.0426         1.0000         2.0908e+03    0.4191        3.3406e-05    
13            Fe 203          Fe 78       3.0426         1.0000         2.2662e+03    0.4572        3.3623e-05    
14            Fe 118          Fe 238      3.0426         1.0000         2.4368e+03    0.4953        3.3874e-05    
15            Fe 241          Fe 11       3.0426         1.0000         2.6051e+03    0.5334        3.4123e-05    
16            Fe 204          Fe 37       3.0426         1.0000         2.7734e+03    0.5715        3.4342e-05    
17            Fe 244          Fe 174      3.0426         1.0000         2.9416e+03    0.6096        3.4536e-05    
18            Fe 110          Fe 190      3.0426         1.0000         3.1099e+03    0.5715        3.0625e-05    
19            Fe 166          Fe 118      3.0426         1.0000         3.2760e+03    0.6096        3.1011e-05    
20            Fe 16           Fe 120      3.0426         1.0000         3.4443e+03    0.6477        3.1340e-05    
21            Fe 117          Fe 241      3.0426         1.0000         3.6103e+03    0.6858        3.1657e-05    
22            Fe 167          Fe 34       3.0426         1.0000         3.7764e+03    0.7238        3.1946e-05    
23            Fe 120          Fe 56       3.0426         1.0000         3.9447e+03    0.7619        3.2193e-05    
24            Fe 36           Fe 244      3.0426         1.0000         4.1130e+03    0.8000        3.2420e-05    
25            Fe 240          Fe 24       3.0426         1.0000         4.2813e+03    0.8381        3.2628e-05    
26            Fe 244          Fe 36       3.0426         1.0000         4.4519e+03    0.8000        2.9952e-05    
27            Fe 201          Fe 117      3.0426         1.0000         4.6225e+03    0.8381        3.0220e-05    
28            Fe 158          Fe 62       3.0426         1.0000         4.7954e+03    0.8762        3.0454e-05    
29            Fe 170          Fe 240      3.0426         1.0000         4.9660e+03    0.9143        3.0686e-05    
30            Fe 102          Fe 167      3.0426         1.0000         5.1366e+03    0.9905        3.2140e-05    
31            Fe 182          Fe 102      3.0426         1.0000         5.3072e+03    1.0286        3.2303e-05    
32            Fe 116          Fe 182      3.0426         1.0000         5.4755e+03    1.1048        3.3629e-05    
33            Fe 218          Fe 170      3.0426         1.0000         5.6438e+03    1.1429        3.3752e-05    
34            Fe 192          Fe 120      3.0426         1.0000         5.8121e+03    1.1810        3.3867e-05    
35            Fe 212          Fe 116      3.0426         1.0000         5.9804e+03    1.2191        3.3975e-05    
36            Fe 160          Fe 204      3.0426         1.0000         6.1487e+03    1.2572        3.4078e-05    
37            Fe 27           Fe 203      3.0426         1.0000         6.3170e+03    1.2953        3.4175e-05    
38            Fe 30           Fe 110      3.0426         1.0000         6.4853e+03    1.3334        3.4268e-05    
39            Fe 34           Fe 158      3.0426         1.0000         6.6536e+03    1.3715        3.4355e-05    
40            Fe 90           Fe 30       3.0426         1.0000         6.8219e+03    1.4096        3.4438e-05    
41            Fe 130          Fe 218      3.0426         1.0000         6.9901e+03    1.4477        3.4518e-05    
42            Fe 167          Fe 34       3.0426         1.0000         7.1584e+03    1.4477        3.3706e-05    
43            Fe 57           Fe 160      3.0426         1.0000         7.3267e+03    1.4858        3.3799e-05    
44            Fe 185          Fe 80       3.0426         1.0000         7.4950e+03    1.5239        3.3887e-05    
45            Fe 6            Fe 166      3.0426         1.0000         7.6633e+03    1.5620        3.3971e-05    
46            Fe 82           Fe 130      3.0426         1.0000         7.8294e+03    1.6001        3.4062e-05    
47            Fe 187          Fe 82       3.0426         1.0000         7.9977e+03    1.6382        3.4139e-05    
48            Fe 107          Fe 187      3.0426         1.0000         8.1660e+03    1.6763        3.4213e-05    
49            Fe 250          Fe 90       3.0426         1.0000         8.3342e+03    1.7144        3.4284e-05    
50            Fe 61           Fe 212      3.0426         1.0000         8.5025e+03    1.7525        3.4352e-05    
51            Fe 131          Fe 107      3.0426         1.0000         8.6708e+03    1.7906        3.4418e-05    
52            Fe 25           Fe 185      3.0426         1.0000         8.8391e+03    1.8287        3.4481e-05    
53            Fe 28           Fe 244      3.0426         1.0000         9.0074e+03    1.8668        3.4541e-05    
54            Fe 166          Fe 6        3.0426         1.0000         9.1757e+03    1.8287        3.3216e-05    
55            Fe 83           Fe 131      3.0426         1.0000         9.3463e+03    1.8668        3.3289e-05    
56            Fe 131          Fe 27       3.0426         1.0000         9.5146e+03    1.9430        3.4035e-05    
57            Fe 228          Fe 28       3.0426         1.0000         9.6829e+03    1.9811        3.4099e-05    
58            Fe 169          Fe 83       3.0426         1.0000         9.8512e+03    2.0192        3.4161e-05    
59            Fe 199          Fe 63       3.0426         1.0000         1.0017e+04    2.0573        3.4229e-05    
60            Fe 176          Fe 16       3.0426         1.0000         1.0181e+04    2.0954        3.4301e-05    
61            Fe 83           Fe 169      3.0426         1.0000         1.0345e+04    2.0573        3.3144e-05    
62            Fe 212          Fe 61       3.0426         1.0000         1.0511e+04    2.0192        3.2017e-05    
63            Fe 4            Fe 212      3.0426         1.0000         1.0677e+04    2.0573        3.2113e-05    
64            Fe 35           Fe 83       3.0426         1.0000         1.0843e+04    2.0954        3.2207e-05    
65            Fe 129          Fe 25       3.0426         1.0000         1.1011e+04    2.1335        3.2292e-05    
66            Fe 7            Fe 199      3.0426         1.0000         1.1180e+04    2.1715        3.2373e-05    
67            Fe 34           Fe 167      3.0426         1.0000         1.1350e+04    2.1715        3.1887e-05    
68            Fe 186          Fe 250      3.0426         1.0000         1.1519e+04    2.2096        3.1972e-05    
69            Fe 65           Fe 129      3.0426         1.0000         1.1689e+04    2.2477        3.2049e-05    
70            Fe 26           Fe 186      3.0426         1.0000         1.1857e+04    2.2858        3.2129e-05    
71            Fe 203          Fe 34       3.0426         1.0000         1.2026e+04    2.3239        3.2208e-05    
72            Fe 120          Fe 192      3.0426         1.0000         1.2194e+04    2.2858        3.1243e-05    
73            Fe 160          Fe 57       3.0426         1.0000         1.2360e+04    2.2477        3.0309e-05    
74            Fe 63           Fe 166      3.0426         1.0000         1.2528e+04    2.3239        3.0916e-05    
75            Fe 219          Fe 35       3.0426         1.0000         1.2692e+04    2.3620        3.1017e-05    
76            Fe 32           Fe 201      3.0426         1.0000         1.2856e+04    2.4382        3.1609e-05    
77            Fe 167          Fe 7        3.0426         1.0000         1.3022e+04    2.5144        3.2181e-05    
78            Fe 216          Fe 32       3.0426         1.0000         1.3190e+04    2.5525        3.2252e-05    
79            Fe 141          Fe 203      3.0426         1.0000         1.3359e+04    2.5906        3.2321e-05    
80            Fe 212          Fe 4        3.0426         1.0000         1.3525e+04    2.5525        3.1455e-05    
81            Fe 45           Fe 141      3.0426         1.0000         1.3691e+04    2.5906        3.1537e-05    
82            Fe 227          Fe 167      3.0426         1.0000         1.3857e+04    2.6287        3.1617e-05    
83            Fe 51           Fe 227      3.0426         1.0000         1.4023e+04    2.6668        3.1696e-05    
84            Fe 87           Fe 63       3.0426         1.0000         1.4191e+04    2.7049        3.1767e-05    
85            Fe 246          Fe 176      3.0426         1.0000         1.4360e+04    2.7430        3.1837e-05    
86            Fe 243          Fe 131      3.0426         1.0000         1.4528e+04    2.7811        3.1905e-05    
87            Fe 95           Fe 51       3.0426         1.0000         1.4694e+04    2.8192        3.1977e-05    
88            Fe 11           Fe 219      3.0426         1.0000         1.4860e+04    2.8573        3.2047e-05    
89            Fe 4            Fe 212      3.0426         1.0000         1.5024e+04    2.8954        3.2120e-05    
90            Fe 125          Fe 228      3.0426         1.0000         1.5188e+04    2.9335        3.2192e-05    
91            Fe 252          Fe 4        3.0426         1.0000         1.5349e+04    2.9716        3.2266e-05    
92            Fe 169          Fe 243      3.0426         1.0000         1.5513e+04    3.0097        3.2335e-05    
93            Fe 204          Fe 160      3.0426         1.0000         1.5679e+04    2.9716        3.1587e-05    
94            Fe 63           Fe 87       3.0426         1.0000         1.5845e+04    2.9335        3.0855e-05    
95            Fe 225          Fe 65       3.0426         1.0000         1.6011e+04    2.9716        3.0932e-05    
96            Fe 94           Fe 26       3.0426         1.0000         1.6177e+04    3.0097        3.1007e-05    
97            Fe 143          Fe 95       3.0426         1.0000         1.6344e+04    3.0478        3.1081e-05    
98            Fe 85           Fe 204      3.0426         1.0000         1.6510e+04    3.0859        3.1153e-05    
99            Fe 38           Fe 246      3.0426         1.0000         1.6676e+04    3.1240        3.1223e-05    
100           Fe 23           Fe 85       3.0426         1.0000         1.6842e+04    3.1621        3.1292e-05    
#Diffusion coefficient = 3.1297e-13 m**2/s
#Standard deviation = 1.5854e-13 m**2/s
